0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:28:29 +0900] "GET /2020_0611_HtmlTest/css/mystyle.css HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:28:35 +0900] "GET /2020_0611_HtmlTest/06_css_test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:28:35 +0900] "GET /2020_0611_HtmlTest/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:54:55 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:55:12 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:57:11 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:57:21 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:59:36 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [17/Jun/2020:10:59:57 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:00:04 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:00:16 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:01:05 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:01:27 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:01:41 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:05:24 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:05:47 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:06:20 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:08:00 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:09:53 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:12:10 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:14:20 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:16:28 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:16:34 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:16:43 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:16:57 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:18:17 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:18:26 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:18:36 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:19:16 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:19:43 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:19:56 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:20:21 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [17/Jun/2020:11:20:36 +0900] "GET /2020_0611_HtmlTest/07_css_test2.html HTTP/1.1" 200 1076
